attendance,away_team,game_type,home_team,venue,day_of_week,sky,total_runs,game_hours_dec,season,home_team_outcome
25060,St. Louis Cardinals,Night Game,Miami Marlins,Marlins Park,Thursday,In Dome,9,2.466666667,regular,Loss
41157,Chicago White Sox,Night Game,Chicago Cubs,Wrigley Field,Thursday,Unknown,4,2.85,regular,Win
22785,Philadelphia Phillies,Night Game,Atlanta Braves,Turner Field,Thursday,Unknown,12,3.416666667,regular,Loss
41257,Boston Red Sox,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Thursday,Sunny,3,3.083333333,regular,Win
47301,San Diego Padres,Day Game,Toronto Blue Jays,Rogers Centre,Wednesday,Sunny,12,2.7,regular,Loss
29630,Oakland Athletics,Night Game,Texas Rangers,Globe Life Park in Arlington,Wednesday,Unknown,10,2.733333333,regular,Loss
42079,Cincinnati Reds,Day Game,San Francisco Giants,AT&T Park,Wednesday,Sunny,3,2.383333333,regular,Loss
35483,Seattle Mariners,Night Game,Pittsburgh Pirates,PNC Park,Wednesday,Cloudy,11,2.683333333,regular,Win
37851,St. Louis Cardinals,Night Game,New York Mets,Citi Field,Wednesday,Cloudy,9,3.116666667,regular,Loss
29482,Atlanta Braves,Night Game,Minnesota Twins,Target Field,Wednesday,Overcast,16,3.316666667,regular,Loss
22581,Arizona Diamondbacks,Night Game,Milwaukee Brewers,Miller Park,Wednesday,Cloudy,9,2.933333333,regular,Loss
32403,Philadelphia Phillies,Day Game,Miami Marlins,Marlins Park,Wednesday,In Dome,12,2.95,regular,Win
43576,Tampa Bay Rays,Day Game,Los Angeles Dodgers,Dodger Stadium,Wednesday,Sunny,4,3.116666667,regular,Loss
30279,Los Angeles Angels of Anaheim,Night Game,Kansas City Royals,Kauffman Stadium,Wednesday,Cloudy,12,3.25,regular,Win
35186,New York Yankees,Night Game,Houston Astros,Minute Maid Park,Wednesday,In Dome,5,2.633333333,regular,Win
26607,Washington Nationals,Day Game,Cleveland Indians,Progressive Field,Wednesday,Sunny,5,3.183333333,regular,Loss
41166,Chicago White Sox,Night Game,Chicago Cubs,Wrigley Field,Wednesday,Cloudy,9,2.85,regular,Win
37842,Detroit Tigers,Day Game,Boston Red Sox,Fenway Park,Wednesday,Sunny,7,2.916666667,regular,Loss
20324,Colorado Rockies,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Wednesday,Cloudy,4,2.8,regular,Loss
45515,San Diego Padres,Night Game,Toronto Blue Jays,Rogers Centre,Tuesday,Sunny,13,3.966666667,regular,Win
25272,Oakland Athletics,Night Game,Texas Rangers,Globe Life Park in Arlington,Tuesday,Unknown,9,3.016666667,regular,Loss
41896,Cincinnati Reds,Night Game,San Francisco Giants,AT&T Park,Tuesday,Sunny,16,3.333333333,regular,Win
30969,Seattle Mariners,Night Game,Pittsburgh Pirates,PNC Park,Tuesday,Unknown,11,3.133333333,regular,Loss
37116,St. Louis Cardinals,Night Game,New York Mets,Citi Field,Tuesday,Cloudy,4,2.55,regular,Win
26690,Atlanta Braves,Night Game,Minnesota Twins,Target Field,Tuesday,Cloudy,2,2.383333333,regular,Loss
24074,Arizona Diamondbacks,Night Game,Milwaukee Brewers,Miller Park,Tuesday,Sunny,13,3.583333333,regular,Win
20365,Philadelphia Phillies,Night Game,Miami Marlins,Marlins Park,Tuesday,In Dome,5,2.683333333,regular,Win
46960,Tampa Bay Rays,Night Game,Los Angeles Dodgers,Dodger Stadium,Tuesday,Sunny,5,2.916666667,regular,Win
28026,Los Angeles Angels of Anaheim,Night Game,Kansas City Royals,Kauffman Stadium,Tuesday,Sunny,13,3.066666667,regular,Loss
28134,New York Yankees,Night Game,Houston Astros,Minute Maid Park,Tuesday,In Dome,9,3.05,regular,Loss
23711,Washington Nationals,Night Game,Cleveland Indians,Progressive Field,Tuesday,Sunny,13,3.283333333,regular,Win
39553,Chicago Cubs,Night Game,Chicago White Sox,U.S. Cellular Field,Tuesday,Sunny,3,2.916666667,regular,Win
38378,Detroit Tigers,Night Game,Boston Red Sox,Fenway Park,Tuesday,Cloudy,17,3.55,regular,Loss
23677,Colorado Rockies,Night Game,Baltimore Orioles,Oriole Park at Camden Yard,Tuesday,Cloudy,9,2.733333333,regular,Loss
41483,San Diego Padres,Night Game,Toronto Blue Jays,Rogers Centre,Monday,Cloudy,6,2.683333333,regular,Win
27292,Oakland Athletics,Night Game,Texas Rangers,Globe Life Park in Arlington,Monday,Overcast,13,2.966666667,regular,Win
42147,Cincinnati Reds,Night Game,San Francisco Giants,AT&T Park,Monday,Sunny,12,3.083333333,regular,Loss
25347,Arizona Diamondbacks,Night Game,Milwaukee Brewers,Miller Park,Monday,Sunny,9,3.15,regular,Win
19465,Philadelphia Phillies,Night Game,Miami Marlins,Marlins Park,Monday,In Dome,4,3.05,regular,Loss
33828,Los Angeles Angels of Anaheim,Night Game,Kansas City Royals,Kauffman Stadium,Monday,Cloudy,8,3.083333333,regular,Loss
30628,New York Yankees,Night Game,Houston Astros,Minute Maid Park,Monday,In Dome,3,2.683333333,regular,Loss
39510,Chicago Cubs,Night Game,Chicago White Sox,U.S. Cellular Field,Monday,Cloudy,9,3.383333333,regular,Win
37479,Detroit Tigers,Night Game,Boston Red Sox,Fenway Park,Monday,Unknown,6,3.45,regular,Loss
19361,Colorado Rockies,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Monday,Unknown,5,3.233333333,regular,Win
30663,San Diego Padres,Day Game,Washington Nationals,Nationals Park,Sunday,Sunny,16,3.533333333,regular,Loss
47488,Seattle Mariners,Day Game,Toronto Blue Jays,Rogers Centre,Sunday,Unknown,2,2.35,regular,Win
41423,Los Angeles Dodgers,Night Game,St. Louis Cardinals,Busch Stadium III,Sunday,Sunny,15,3.816666667,regular,Loss
32439,Philadelphia Phillies,Day Game,Pittsburgh Pirates,PNC Park,Sunday,Cloudy,9,3.133333333,regular,Win
17642,Tampa Bay Rays,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Sunday,Sunny,5,2.35,regular,Win
34143,San Francisco Giants,Day Game,New York Yankees,Yankee Stadium III,Sunday,Cloudy,7,3.1,regular,Win
43310,Chicago Cubs,Day Game,Milwaukee Brewers,Miller Park,Sunday,Unknown,11,4.133333333,regular,Loss
25004,New York Mets,Day Game,Miami Marlins,Marlins Park,Sunday,In Dome,3,2.833333333,regular,Loss
32739,Texas Rangers,Day Game,Kansas City Royals,Kauffman Stadium,Sunday,Cloudy,3,3.05,regular,Loss
32721,Los Angeles Angels of Anaheim,Day Game,Houston Astros,Minute Maid Park,Sunday,In Dome,16,3,regular,Win
26841,New York Mets,Night Game,Miami Marlins,Marlins Park,Saturday,In Dome,9,3.15,regular,Win
32132,Texas Rangers,Night Game,Kansas City Royals,Kauffman Stadium,Saturday,Cloudy,11,3.233333333,regular,Loss
35119,Los Angeles Angels of Anaheim,Night Game,Houston Astros,Minute Maid Park,Saturday,In Dome,9,2.883333333,regular,Win
46195,Atlanta Braves,Night Game,Colorado Rockies,Coors Field,Saturday,Unknown,12,3.033333333,regular,Win
23963,Arizona Diamondbacks,Night Game,Cincinnati Reds,Great American Ball Park,Saturday,Cloudy,7,3,regular,Win
32527,Detroit Tigers,Night Game,Chicago White Sox,U.S. Cellular Field,Saturday,Unknown,7,3.25,regular,Win
37600,Minnesota Twins,Night Game,Boston Red Sox,Fenway Park,Saturday,Cloudy,20,4.183333333,regular,Loss
31946,Cleveland Indians,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Saturday,Cloudy,7,2.866666667,regular,Win
31618,San Diego Padres,Night Game,Washington Nationals,Nationals Park,Friday,Cloudy,8,2.966666667,regular,Loss
46737,Seattle Mariners,Night Game,Toronto Blue Jays,Rogers Centre,Friday,Sunny,3,2.683333333,regular,Loss
41915,Los Angeles Dodgers,Night Game,St. Louis Cardinals,Busch Stadium III,Friday,Cloudy,7,5.166666667,regular,Win
33703,Philadelphia Phillies,Night Game,Pittsburgh Pirates,PNC Park,Friday,Cloudy,4,2.633333333,regular,Loss
15250,Tampa Bay Rays,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Friday,Sunny,1,3.516666667,regular,Win
45304,San Francisco Giants,Night Game,New York Yankees,Yankee Stadium III,Friday,Cloudy,5,3.283333333,regular,Win
42243,Chicago Cubs,Night Game,Milwaukee Brewers,Miller Park,Friday,Sunny,7,3.116666667,regular,Loss
23661,New York Mets,Night Game,Miami Marlins,Marlins Park,Friday,In Dome,8,3.116666667,regular,Loss
33535,Texas Rangers,Night Game,Kansas City Royals,Kauffman Stadium,Friday,Sunny,4,2.733333333,regular,Win
36453,Los Angeles Angels of Anaheim,Night Game,Houston Astros,Minute Maid Park,Friday,In Dome,3,3.033333333,regular,Win
35880,Atlanta Braves,Night Game,Colorado Rockies,Coors Field,Friday,Cloudy,7,3.3,regular,Win
24252,Arizona Diamondbacks,Night Game,Cincinnati Reds,Great American Ball Park,Friday,Cloudy,8,3.25,regular,Win
22611,Detroit Tigers,Night Game,Chicago White Sox,U.S. Cellular Field,Friday,Sunny,12,3.583333333,regular,Loss
37001,Minnesota Twins,Night Game,Boston Red Sox,Fenway Park,Friday,Cloudy,3,3,regular,Loss
39358,Cleveland Indians,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Friday,Cloudy,6,2.866666667,regular,Win
38586,Los Angeles Dodgers,Day Game,Washington Nationals,Nationals Park,Thursday,Cloudy,9,3.583333333,regular,Loss
40134,San Diego Padres,Night Game,St. Louis Cardinals,Busch Stadium III,Thursday,Cloudy,11,3.3,regular,Win
35978,Milwaukee Brewers,Night Game,Pittsburgh Pirates,PNC Park,Thursday,Cloudy,8,2.783333333,regular,Win
27839,Miami Marlins,Night Game,Philadelphia Phillies,Citizens Bank Park,Thursday,Cloudy,12,2.95,regular,Loss
14412,Tampa Bay Rays,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Thursday,Sunny,10,2.766666667,regular,Loss
42476,Baltimore Orioles,Day Game,New York Yankees,Yankee Stadium III,Thursday,Sunny,5,2.866666667,regular,Loss
36527,Atlanta Braves,Night Game,Colorado Rockies,Coors Field,Thursday,Unknown,10,3.066666667,regular,Win
24938,Detroit Tigers,Night Game,Chicago White Sox,U.S. Cellular Field,Thursday,Sunny,3,2.133333333,regular,Loss
37566,Minnesota Twins,Night Game,Boston Red Sox,Fenway Park,Thursday,Cloudy,15,2.75,regular,Win
34050,Los Angeles Dodgers,Night Game,Washington Nationals,Nationals Park,Wednesday,Cloudy,9,2.95,regular,Win
41012,San Diego Padres,Night Game,St. Louis Cardinals,Busch Stadium III,Wednesday,Sunny,5,3.05,regular,Win
40184,San Diego Padres,Day Game,St. Louis Cardinals,Busch Stadium III,Wednesday,Cloudy,6,2.533333333,regular,Win
39985,Chicago White Sox,Day Game,Seattle Mariners,Safeco Field,Wednesday,Cloudy,11,3.2,regular,Win
36717,Milwaukee Brewers,Night Game,Pittsburgh Pirates,PNC Park,Wednesday,Sunny,14,3.716666667,regular,Loss
20654,Miami Marlins,Night Game,Philadelphia Phillies,Citizens Bank Park,Wednesday,Cloudy,5,2.616666667,regular,Win
20231,Houston Astros,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Wednesday,Sunny,7,3.1,regular,Loss
35681,Baltimore Orioles,Night Game,New York Yankees,Yankee Stadium III,Wednesday,Sunny,5,2.666666667,regular,Win
33455,Cleveland Indians,Day Game,Kansas City Royals,Kauffman Stadium,Wednesday,Sunny,15,3.266666667,regular,Loss
35020,Minnesota Twins,Day Game,Detroit Tigers,Comerica Park,Wednesday,Cloudy,5,3.083333333,regular,Loss
31456,Tampa Bay Rays,Day Game,Colorado Rockies,Coors Field,Wednesday,Sunny,14,3.45,regular,Loss
22091,Atlanta Braves,Day Game,Cincinnati Reds,Great American Ball Park,Wednesday,Cloudy,9,2.55,regular,Win
41210,New York Mets,Day Game,Chicago Cubs,Wrigley Field,Wednesday,Cloudy,8,2.816666667,regular,Win
38201,San Francisco Giants,Night Game,Boston Red Sox,Fenway Park,Wednesday,Cloudy,18,3.766666667,regular,Win
20076,Toronto Blue Jays,Day Game,Arizona Diamondbacks,Chase Field,Wednesday,In Dome,14,2.866666667,regular,Loss
37095,Texas Rangers,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Wednesday,Sunny,11,2.866666667,regular,Win
38747,Los Angeles Dodgers,Night Game,Washington Nationals,Nationals Park,Tuesday,Cloudy,12,3.233333333,regular,Loss
24851,Chicago White Sox,Night Game,Seattle Mariners,Safeco Field,Tuesday,Unknown,7,3,regular,Loss
27106,Milwaukee Brewers,Night Game,Pittsburgh Pirates,PNC Park,Tuesday,Sunny,5,2.816666667,regular,Win
18347,Miami Marlins,Night Game,Philadelphia Phillies,Citizens Bank Park,Tuesday,Cloudy,3,3.433333333,regular,Loss
15143,Houston Astros,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Tuesday,Sunny,7,3.683333333,regular,Win
31192,Baltimore Orioles,Night Game,New York Yankees,Yankee Stadium III,Tuesday,Cloudy,8,2.85,regular,Win
32030,Minnesota Twins,Night Game,Detroit Tigers,Comerica Park,Tuesday,Cloudy,8,2.916666667,regular,Loss
33061,Tampa Bay Rays,Night Game,Colorado Rockies,Coors Field,Tuesday,Unknown,11,2.9,regular,Loss
23080,Atlanta Braves,Night Game,Cincinnati Reds,Great American Ball Park,Tuesday,Cloudy,9,3.633333333,regular,Loss
41456,New York Mets,Night Game,Chicago Cubs,Wrigley Field,Tuesday,Sunny,3,3.066666667,regular,Loss
38082,San Francisco Giants,Night Game,Boston Red Sox,Fenway Park,Tuesday,Cloudy,4,2.7,regular,Win
26626,Toronto Blue Jays,Night Game,Arizona Diamondbacks,Chase Field,Tuesday,In Dome,6,2.966666667,regular,Loss
36368,Texas Rangers,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Tuesday,Sunny,14,3.016666667,regular,Win
40137,San Diego Padres,Night Game,St. Louis Cardinals,Busch Stadium III,Monday,Sunny,12,2.916666667,regular,Win
20598,Chicago White Sox,Night Game,Seattle Mariners,Safeco Field,Monday,Cloudy,7,2.35,regular,Win
19115,Miami Marlins,Night Game,Philadelphia Phillies,Citizens Bank Park,Monday,Unknown,5,3.083333333,regular,Loss
10651,Houston Astros,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Monday,Sunny,11,3.1,regular,Win
31102,Baltimore Orioles,Night Game,New York Yankees,Yankee Stadium III,Monday,Cloudy,3,2.95,regular,Win
38042,Cleveland Indians,Night Game,Kansas City Royals,Kauffman Stadium,Monday,Sunny,10,2.85,regular,Win
29290,Minnesota Twins,Night Game,Detroit Tigers,Comerica Park,Monday,Cloudy,1,2.433333333,regular,Win
30601,Tampa Bay Rays,Night Game,Colorado Rockies,Coors Field,Monday,Unknown,11,3.2,regular,Win
21989,Atlanta Braves,Night Game,Cincinnati Reds,Great American Ball Park,Monday,Cloudy,10,3.183333333,regular,Win
41353,New York Mets,Night Game,Chicago Cubs,Wrigley Field,Monday,Sunny,6,2.933333333,regular,Win
36020,Texas Rangers,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Monday,Sunny,14,3.05,regular,Win
32775,Pittsburgh Pirates,Day Game,Washington Nationals,Nationals Park,Sunday,Cloudy,3,5.8,regular,Loss
16161,Baltimore Orioles,Day Game,Tampa Bay Rays,Tropicana Field,Sunday,In Dome,7,2.533333333,regular,Win
43046,Miami Marlins,Day Game,St. Louis Cardinals,Busch Stadium III,Sunday,Cloudy,9,3.05,regular,Loss
27322,Houston Astros,Day Game,Seattle Mariners,Safeco Field,Sunday,Cloudy,9,2.916666667,regular,Loss
35784,San Francisco Giants,Day Game,San Diego Padres,Petco Park,Sunday,Sunny,8,3.416666667,regular,Win
30894,New York Mets,Day Game,Philadelphia Phillies,Citizens Bank Park,Sunday,Sunny,5,2.35,regular,Loss
21626,Toronto Blue Jays,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Sunday,Cloudy,8,3.2,regular,Loss
42884,Boston Red Sox,Night Game,New York Yankees,Yankee Stadium III,Sunday,Sunny,4,2.95,regular,Win
25692,Cleveland Indians,Day Game,Minnesota Twins,Target Field,Sunday,Cloudy,7,2.766666667,regular,Loss
37363,Kansas City Royals,Day Game,Detroit Tigers,Comerica Park,Sunday,Cloudy,6,2.366666667,regular,Win
23085,Milwaukee Brewers,Day Game,Cincinnati Reds,Great American Ball Park,Sunday,Cloudy,1,2.566666667,regular,Win
41213,Texas Rangers,Day Game,Chicago Cubs,Wrigley Field,Sunday,Unknown,5,2.283333333,regular,Loss
18873,Colorado Rockies,Day Game,Atlanta Braves,Turner Field,Sunday,Cloudy,1,3.366666667,regular,Win
29459,Los Angeles Dodgers,Day Game,Arizona Diamondbacks,Chase Field,Sunday,In Dome,11,3.233333333,regular,Win
36834,Chicago White Sox,Day Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Sunday,Sunny,9,2.666666667,regular,Win
28393,Colorado Rockies,Night Game,Atlanta Braves,Turner Field,Saturday,Overcast,7,3.033333333,regular,Loss
38899,Los Angeles Dodgers,Night Game,Arizona Diamondbacks,Chase Field,Saturday,In Dome,3,4.516666667,regular,Win
39620,Chicago White Sox,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Saturday,Sunny,1,2.333333333,regular,Win
36982,Pittsburgh Pirates,Night Game,Washington Nationals,Nationals Park,Friday,Cloudy,6,2.716666667,regular,Win
17672,Baltimore Orioles,Night Game,Tampa Bay Rays,Tropicana Field,Friday,In Dome,7,3,regular,Loss
42034,Miami Marlins,Night Game,St. Louis Cardinals,Busch Stadium III,Friday,Cloudy,13,3.4,regular,Loss
29217,Houston Astros,Night Game,Seattle Mariners,Safeco Field,Friday,Cloudy,10,2.9,regular,Loss
38522,San Francisco Giants,Night Game,San Diego Padres,Petco Park,Friday,Sunny,5,2.65,regular,Win
28076,New York Mets,Night Game,Philadelphia Phillies,Citizens Bank Park,Friday,Unknown,8,3.166666667,regular,Loss
19192,Toronto Blue Jays,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Friday,Cloudy,15,3.15,regular,Win
47439,Boston Red Sox,Night Game,New York Yankees,Yankee Stadium III,Friday,Cloudy,8,3.083333333,regular,Loss
27074,Cleveland Indians,Night Game,Minnesota Twins,Target Field,Friday,Cloudy,7,2.9,regular,Loss
37447,Kansas City Royals,Night Game,Detroit Tigers,Comerica Park,Friday,Cloudy,6,2.95,regular,Win
30680,Milwaukee Brewers,Night Game,Cincinnati Reds,Great American Ball Park,Friday,Overcast,9,3.233333333,regular,Win
41482,Texas Rangers,Day Game,Chicago Cubs,Wrigley Field,Friday,Overcast,6,2.733333333,regular,Win
27236,Colorado Rockies,Night Game,Atlanta Braves,Turner Field,Friday,Cloudy,13,3.466666667,regular,Loss
30639,Los Angeles Dodgers,Night Game,Arizona Diamondbacks,Chase Field,Friday,In Dome,20,3.85,regular,Loss
42031,Chicago White Sox,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Friday,Sunny,7,2.65,regular,Win
47747,Detroit Tigers,Day Game,Toronto Blue Jays,Rogers Centre,Sunday,Cloudy,7,2.816666667,regular,Win
31978,Minnesota Twins,Day Game,Texas Rangers,Globe Life Park in Arlington,Sunday,Unknown,20,3.216666667,regular,Loss
42075,Arizona Diamondbacks,Night Game,San Francisco Giants,AT&T Park,Sunday,Sunny,4,2.9,regular,Win
37998,Chicago Cubs,Day Game,Pittsburgh Pirates,PNC Park,Sunday,Cloudy,11,2.966666667,regular,Loss
35778,Washington Nationals,Day Game,New York Mets,Citi Field,Sunday,Cloudy,5,2.683333333,regular,Loss
42066,St. Louis Cardinals,Day Game,Milwaukee Brewers,Miller Park,Sunday,Unknown,6,3,regular,Loss
22394,Cincinnati Reds,Day Game,Miami Marlins,Marlins Park,Sunday,In Dome,10,3.066666667,regular,Win
42801,San Diego Padres,Day Game,Los Angeles Dodgers,Dodger Stadium,Sunday,Sunny,4,2.816666667,regular,Win
27544,Seattle Mariners,Day Game,Kansas City Royals,Kauffman Stadium,Sunday,Sunny,13,3.05,regular,Loss
28119,Oakland Athletics,Day Game,Houston Astros,Minute Maid Park,Sunday,In Dome,3,3.083333333,regular,Win
32113,Philadelphia Phillies,Day Game,Colorado Rockies,Coors Field,Sunday,Cloudy,13,3.183333333,regular,Loss
29089,New York Yankees,Day Game,Cleveland Indians,Progressive Field,Sunday,Cloudy,18,3.583333333,regular,Loss
29156,Atlanta Braves,Day Game,Chicago White Sox,U.S. Cellular Field,Sunday,Cloudy,2,2.366666667,regular,Loss
36669,Tampa Bay Rays,Day Game,Boston Red Sox,Fenway Park,Sunday,Unknown,4,2.516666667,regular,Win
32963,Los Angeles Angels of Anaheim,Day Game,Baltimore Orioles,Oriole Park at Camden Yards,Sunday,Unknown,6,3.216666667,regular,Win
47684,Detroit Tigers,Day Game,Toronto Blue Jays,Rogers Centre,Saturday,Cloudy,5,2.783333333,regular,Loss
37708,Minnesota Twins,Night Game,Texas Rangers,Globe Life Park in Arlington,Saturday,Rain,14,3.333333333,regular,Loss
41571,Arizona Diamondbacks,Day Game,San Francisco Giants,AT&T Park,Saturday,Cloudy,6,3.05,regular,Win
37796,Chicago Cubs,Night Game,Pittsburgh Pirates,PNC Park,Saturday,Cloudy,18,3.516666667,regular,Win
36953,Washington Nationals,Night Game,New York Mets,Citi Field,Saturday,Unknown,7,3.216666667,regular,Loss
37101,St. Louis Cardinals,Day Game,Milwaukee Brewers,Miller Park,Saturday,Sunny,9,3.433333333,regular,Loss
23653,Cincinnati Reds,Day Game,Miami Marlins,Marlins Park,Saturday,In Dome,6,2.8,regular,Win
48411,San Diego Padres,Day Game,Los Angeles Dodgers,Dodger Stadium,Saturday,Sunny,7,2.75,regular,Win
30659,Seattle Mariners,Day Game,Kansas City Royals,Kauffman Stadium,Saturday,Cloudy,8,2.883333333,regular,Win
35312,Oakland Athletics,Day Game,Houston Astros,Minute Maid Park,Saturday,In Dome,5,2.866666667,regular,Loss
48105,Philadelphia Phillies,Night Game,Colorado Rockies,Coors Field,Saturday,Sunny,11,2.75,regular,Win
32951,New York Yankees,Day Game,Cleveland Indians,Progressive Field,Saturday,Sunny,13,4.3,regular,Loss
23888,Atlanta Braves,Day Game,Chicago White Sox,U.S. Cellular Field,Saturday,Cloudy,9,2.8,regular,Win
36900,Tampa Bay Rays,Day Game,Boston Red Sox,Fenway Park,Saturday,Unknown,5,2.716666667,regular,Win
43228,Detroit Tigers,Night Game,Toronto Blue Jays,Rogers Centre,Friday,In Dome,6,3.116666667,regular,Win
40330,Minnesota Twins,Night Game,Texas Rangers,Globe Life Park in Arlington,Friday,Sunny,11,3.233333333,regular,Win
41576,Arizona Diamondbacks,Night Game,San Francisco Giants,AT&T Park,Friday,Cloudy,8,3.45,regular,Win
35904,Chicago Cubs,Night Game,Pittsburgh Pirates,PNC Park,Friday,Cloudy,12,3.383333333,regular,Win
35030,Washington Nationals,Night Game,New York Mets,Citi Field,Friday,Unknown,4,3.283333333,regular,Loss
28343,St. Louis Cardinals,Night Game,Milwaukee Brewers,Miller Park,Friday,Sunny,7,3.083333333,regular,Win
22333,Cincinnati Reds,Night Game,Miami Marlins,Marlins Park,Friday,In Dome,4,2.266666667,regular,Win
43588,San Diego Padres,Night Game,Los Angeles Dodgers,Dodger Stadium,Friday,Sunny,16,3.75,regular,Win
33391,Seattle Mariners,Night Game,Kansas City Royals,Kauffman Stadium,Friday,Sunny,5,2.683333333,regular,Loss
31438,Oakland Athletics,Night Game,Houston Astros,Minute Maid Park,Friday,In Dome,19,3.483333333,regular,Win
42335,Philadelphia Phillies,Night Game,Colorado Rockies,Coors Field,Friday,Cloudy,8,3.6,regular,Loss
34045,New York Yankees,Night Game,Cleveland Indians,Progressive Field,Friday,Sunny,12,2.6,regular,Win
26199,Atlanta Braves,Night Game,Chicago White Sox,U.S. Cellular Field,Friday,Cloudy,19,3.283333333,regular,Loss
37739,Tampa Bay Rays,Night Game,Boston Red Sox,Fenway Park,Friday,Unknown,11,3.333333333,regular,Win
44317,Los Angeles Angels of Anaheim,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Friday,Cloudy,14,3.45,regular,Loss
46283,Detroit Tigers,Night Game,Toronto Blue Jays,Rogers Centre,Thursday,Unknown,9,3.3,regular,Win
43934,Minnesota Twins,Night Game,Texas Rangers,Globe Life Park in Arlington,Thursday,Sunny,11,3.616666667,regular,Loss
14576,Los Angeles Angels of Anaheim,Day Game,Tampa Bay Rays,Tropicana Field,Thursday,In Dome,6,3.016666667,regular,Loss
42144,Pittsburgh Pirates,Day Game,St. Louis Cardinals,Busch Stadium III,Thursday,Unknown,6,2.7,regular,Win
37569,Washington Nationals,Night Game,New York Mets,Citi Field,Thursday,Unknown,16,3.65,regular,Win
44759,San Diego Padres,Night Game,Los Angeles Dodgers,Dodger Stadium,Thursday,Sunny,6,2.75,regular,Loss
31425,Seattle Mariners,Night Game,Kansas City Royals,Kauffman Stadium,Thursday,Unknown,7,2.616666667,regular,Win
20933,Oakland Athletics,Night Game,Houston Astros,Minute Maid Park,Thursday,In Dome,4,2.533333333,regular,Loss
35250,Philadelphia Phillies,Night Game,Colorado Rockies,Coors Field,Thursday,Cloudy,13,2.883333333,regular,Win
23848,New York Yankees,Night Game,Cleveland Indians,Progressive Field,Thursday,Sunny,9,3,regular,Loss
41480,Atlanta Braves,Night Game,Chicago Cubs,Wrigley Field,Thursday,Unknown,7,3.9,regular,Loss
26330,Milwaukee Brewers,Day Game,Washington Nationals,Nationals Park,Wednesday,Cloudy,11,2.783333333,regular,Win
39971,Kansas City Royals,Night Game,Toronto Blue Jays,Rogers Centre,Wednesday,Overcast,6,2.266666667,regular,Win
11267,Los Angeles Angels of Anaheim,Night Game,Tampa Bay Rays,Tropicana Field,Wednesday,In Dome,9,3.3,regular,Loss
42693,Pittsburgh Pirates,Night Game,St. Louis Cardinals,Busch Stadium III,Wednesday,Overcast,12,3.35,regular,Loss
42076,Colorado Rockies,Night Game,San Francisco Giants,AT&T Park,Wednesday,Unknown,6,2.516666667,regular,Win
19211,Atlanta Braves,Day Game,Philadelphia Phillies,Citizens Bank Park,Wednesday,Cloudy,7,2.9,regular,Win
26191,Miami Marlins,Day Game,New York Mets,Citi Field,Wednesday,Cloudy,6,2.666666667,regular,Win
41753,Colorado Rockies,Night Game,San Francisco Giants,AT&T Park,Tuesday,Overcast,10,3.566666667,regular,Loss
18426,Atlanta Braves,Night Game,Philadelphia Phillies,Citizens Bank Park,Tuesday,Cloudy,6,2.133333333,regular,Win
29477,Miami Marlins,Night Game,New York Mets,Citi Field,Tuesday,Sunny,7,2.55,regular,Loss
16938,Oakland Athletics,Night Game,Minnesota Twins,Target Field,Tuesday,Overcast,15,3.133333333,regular,Win
45373,Baltimore Orioles,Night Game,Los Angeles Dodgers,Dodger Stadium,Tuesday,Sunny,5,3.283333333,regular,Loss
21553,Seattle Mariners,Night Game,Houston Astros,Minute Maid Park,Tuesday,In Dome,7,2.566666667,regular,Win
19448,Detroit Tigers,Night Game,Cleveland Indians,Progressive Field,Tuesday,Sunny,13,3.083333333,regular,Win
41310,Cincinnati Reds,Day Game,Chicago Cubs,Wrigley Field,Tuesday,Cloudy,14,3.133333333,regular,Loss
20773,New York Yankees,Night Game,Chicago White Sox,U.S. Cellular Field,Tuesday,Cloudy,9,3.116666667,regular,Loss
35964,Texas Rangers,Night Game,Boston Red Sox,Fenway Park,Tuesday,Cloudy,9,3.35,regular,Loss
14110,San Diego Padres,Night Game,Arizona Diamondbacks,Chase Field,Tuesday,In Dome,12,2.866666667,regular,Win
29174,Milwaukee Brewers,Day Game,Washington Nationals,Nationals Park,Monday,Overcast,1,3.016666667,regular,Loss
