attendance,away_team,game_type,home_team,venue,day_of_week,sky,total_runs,game_hours_dec,season,home_team_outcome
41377,New York Mets,Night Game,San Francisco Giants,AT&T Park,Sunday,Unknown,2,2.416666667,regular,Loss
35833,Milwaukee Brewers,Day Game,Seattle Mariners,Safeco Field,Sunday,Unknown,13,3.216666667,regular,Loss
28150,Arizona Diamondbacks,Day Game,San Diego Padres,Petco Park,Sunday,Sunny,10,2.5,regular,Win
28616,Miami Marlins,Day Game,Pittsburgh Pirates,PNC Park,Sunday,Unknown,5,2.916666667,regular,Loss
20127,St. Louis Cardinals,Day Game,Philadelphia Phillies,Citizens Bank Park,Sunday,Cloudy,9,3.116666667,regular,Loss
31032,Boston Red Sox,Day Game,Detroit Tigers,Comerica Park,Sunday,Cloudy,15,3.15,regular,Win
46206,Chicago Cubs,Day Game,Colorado Rockies,Coors Field,Sunday,Sunny,15,3,regular,Win
26696,Toronto Blue Jays,Day Game,Cleveland Indians,Progressive Field,Sunday,Cloudy,5,2.883333333,regular,Win
28752,Los Angeles Dodgers,Day Game,Cincinnati Reds,Great American Ball Park,Sunday,Cloudy,4,2.916666667,regular,Loss
23030,Oakland Athletics,Day Game,Chicago White Sox,U.S. Cellular Field,Sunday,Cloudy,6,2.7,regular,Win
29734,Houston Astros,Night Game,Baltimore Orioles,Oriole Park at Camden Yard,Sunday,Overcast,8,2.533333333,regular,Loss
25341,Washington Nationals,Day Game,Atlanta Braves,Turner Field,Sunday,Cloudy,13,3.6,regular,Win
40309,New York Yankees,Day Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Sunday,Cloudy,2,2.65,regular,Win
16505,Texas Rangers,Night Game,Tampa Bay Rays,Tropicana Field,Saturday,In Dome,10,2.933333333,regular,Win
41125,New York Mets,Day Game,San Francisco Giants,AT&T Park,Saturday,Overcast,14,3.35,regular,Loss
29170,Milwaukee Brewers,Night Game,Seattle Mariners,Safeco Field,Saturday,Sunny,10,2.883333333,regular,Win
32599,Arizona Diamondbacks,Night Game,San Diego Padres,Petco Park,Saturday,Sunny,3,2.866666667,regular,Loss
37828,Miami Marlins,Night Game,Pittsburgh Pirates,PNC Park,Saturday,Cloudy,4,2.5,regular,Loss
32288,St. Louis Cardinals,Night Game,Philadelphia Phillies,Citizens Bank Park,Saturday,Cloudy,6,2.933333333,regular,Win
29268,Minnesota Twins,Night Game,Kansas City Royals,Kauffman Stadium,Saturday,Sunny,10,2.516666667,regular,Win
37886,Boston Red Sox,Night Game,Detroit Tigers,Comerica Park,Saturday,Overcast,5,2.6,regular,Loss
48113,Chicago Cubs,Night Game,Colorado Rockies,Coors Field,Saturday,Sunny,11,3.083333333,regular,Loss
33604,Toronto Blue Jays,Night Game,Cleveland Indians,Progressive Field,Saturday,Cloudy,11,3,regular,Loss
